academy|academy|noun|C1|a school or college for special training|/əˈkædəmi/|/əˈkædəmi/|https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/aca/acade/academy__gb_1.mp3|https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/aca/acade/academy__us_1.mp3|<li class="" htag="li"><span class="x">She trained at the Royal Academy of Music.</span></li>;<li class="" htag="li"><span class="x">a <span class="cl">police/military academy</span></span></li>|https://www.oxfordlearnersdictionaries.com/definition/english/academy|<li class="" htag="li"><span class="x">Bà được đào tạo tại Học viện Âm nhạc Hoàng gia.</span></li>;<li class="" htag="li"><span class="x">một <span class="cl">học viện cảnh sát/quân đội</span></span></li>|một trường học hoặc cao đẳng đào tạo đặc biệt
accelerate|accelerate|verb|C1|to happen faster or earlier; to make something happen faster or earlier|/əkˈseləreɪt/|/əkˈseləreɪt/|https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/acc/accel/accelerate__gb_1.mp3|https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/acc/accel/accelerate__us_1.mp3|<li class="" htag="li"><span class="x">Inflation continues to accelerate.</span></li>;<li class="" htag="li"> <span class="cf" hclass="cf" htag="span">accelerate something</span> <span class="x">Exposure to the sun can accelerate the ageing process.</span></li>|https://www.oxfordlearnersdictionaries.com/definition/english/accelerate|<li class="" htag="li"><span class="x">Lạm phát tiếp tục tăng tốc.</span></li>;<li class="" htag="li"> <span class="cf" hclass="cf" htag="span">accelerate something</span> <span class="x">Tiếp xúc với ánh nắng mặt trời có thể đẩy nhanh quá trình lão hóa.</span></li>|xảy ra nhanh hơn hoặc sớm hơn; làm cho cái gì đó xảy ra nhanh hơn hoặc sớm hơn
accent_1|accent|noun|B2+|a way of pronouncing the words of a language that shows which country, area or social class a person comes from; how well somebody pronounces a particular language|/ˈæksent/|/ˈæksent/|https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/acc/accen/accent__gb_1.mp3|https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/acc/accen/accent__us_1_rr.mp3|<li class="" htag="li"><span class="x">a northern/Dublin/Scottish accent</span></li>;<li class="" htag="li"><span class="x">a <span class="cl">strong/broad accent</span> <span class="gloss" hclass="gloss" htag="span">(= one that is easy to notice)</span></span></li>;<li class="" htag="li"> <span class="cf" hclass="cf" htag="span">with an accent</span> <span class="x">She spoke English with an accent.</span></li>;<li class="" htag="li"><span class="x">The Americans had learned Korean and spoke with a good accent.</span></li>|https://www.oxfordlearnersdictionaries.com/definition/english/accent_1|<li class="" htag="li"><span class="x">giọng miền Bắc/Dublin/Scotland</span></li>;<li class="" htag="li"><span class="x">một <span class="cl">giọng mạnh/rộng</span> <span class="gloss" hclass="gloss" htag="span">(= one that is easy to notice)</span></span></li>;<li class="" htag="li"> <span class="cf" hclass="cf" htag="span">with an accent</span> <span class="x">Cô ấy nói tiếng Anh với giọng đặc sệt.</span></li>;<li class="" htag="li"><span class="x">Người Mỹ đã học tiếng Hàn và nói giọng chuẩn.</span></li>|một cách phát âm các từ của một ngôn ngữ cho thấy một người đến từ quốc gia, khu vực hoặc tầng lớp xã hội nào; một người phát âm một ngôn ngữ cụ thể tốt như thế nào
acceptance|acceptance|noun|C1|the act of accepting a gift, an invitation, an offer, etc.|/əkˈseptəns/|/əkˈseptəns/|https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/acc/accep/acceptance__gb_1.mp3|https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/acc/accep/acceptance__us_1.mp3|<li class="" htag="li"><span class="x">Please confirm your acceptance of this offer in writing.</span></li>;<li class="" htag="li"><span class="x">He made a short <span class="cl">acceptance speech/speech of acceptance</span>.</span></li>;<li class="" htag="li"><span class="x">Invitations have been sent out and 80 acceptances have already been received.</span></li>;<li class="" htag="li"><span class="x">So far we have had one refusal and three acceptances.</span></li>|https://www.oxfordlearnersdictionaries.com/definition/english/acceptance|<li class="" htag="li"><span class="x">Vui lòng xác nhận bạn chấp nhận lời đề nghị này bằng văn bản.</span></li>;<li class="" htag="li"><span class="x">Ông đã có một bài phát biểu ngắn <span class="cl">nhận giải/bài phát biểu chấp nhận</span>.</span></li>;<li class="" htag="li"><span class="x">Thư mời đã được gửi đi và đã nhận được 80 lời chấp nhận.</span></li>;<li class="" htag="li"><span class="x">Cho đến nay chúng tôi đã nhận được một lời từ chối và ba lời chấp nhận.</span></li>|hành động chấp nhận một món quà, một lời mời, một lời đề nghị, v.v.
accessible|accessible|adjective|C1|that can be reached, entered, used, seen, etc.|/əkˈsesəbl/|/əkˈsesəbl/|https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/acc/acces/accessible__gb_4.mp3|https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/acc/acces/accessible__us_1.mp3|<li class="" htag="li"><span class="x">The remote desert area is accessible only by helicopter.</span></li>;<li class="" htag="li"> <span class="cf" hclass="cf" htag="span">accessible to somebody</span> <span class="x">These documents are not accessible to the public.</span></li>|https://www.oxfordlearnersdictionaries.com/definition/english/accessible|<li class="" htag="li"><span class="x">Khu vực sa mạc xa xôi này chỉ có thể tiếp cận bằng trực thăng.</span></li>;<li class="" htag="li"> <span class="cf" hclass="cf" htag="span">accessible to somebody</span> <span class="x">Những tài liệu này không được công khai.</span></li>|có thể tiếp cận, nhập vào, sử dụng, nhìn thấy, v.v.
accidentally|accidentally|adverb|B2+|by chance; in a way that was not planned|/ˌæksɪˈdentəli/|/ˌæksɪˈdentəli/|https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/acc/accid/accidentally__gb_1.mp3|https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/acc/accid/accidentally__us_1.mp3|<li class="" htag="li"><span class="x">As I turned around, I accidentally hit him in the face.</span></li>;<li class="" htag="li"><span class="x">The damage couldn't have been caused accidentally.</span></li>|https://www.oxfordlearnersdictionaries.com/definition/english/accidentally|<li class="" htag="li"><span class="x">Khi tôi quay lại, tôi vô tình đập vào mặt anh ta.</span></li>;<li class="" htag="li"><span class="x">Thiệt hại này không thể xảy ra một cách ngẫu nhiên.</span></li>|tình cờ; theo cách không được lên kế hoạch
accommodate|accommodate|verb|B2+|to provide somebody with a room or place to sleep, live or sit|/əˈkɒmədeɪt/|/əˈkɑːmədeɪt/|https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/acc/accom/accommodate__gb_1.mp3|https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/acc/accom/accommodate__us_1.mp3|<li class="" htag="li"><span class="x">The hotel can accommodate up to 500 guests.</span></li>;<li class="" htag="li"><span class="x">The aircraft is capable of accommodating 28 passengers.</span></li>|https://www.oxfordlearnersdictionaries.com/definition/english/accommodate|<li class="" htag="li"><span class="x">Khách sạn có thể chứa tới 500 khách.</span></li>;<li class="" htag="li"><span class="x">Máy bay có khả năng chở 28 hành khách.</span></li>|cung cấp cho ai đó một căn phòng hoặc nơi để ngủ, sống hoặc ngồi
accomplish|accomplish|verb|B2+|to succeed in doing or completing something|/əˈkʌmplɪʃ/|/əˈkɑːmplɪʃ/|https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/acc/accom/accomplish__gb_1.mp3|https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/acc/accom/accomplish__us_1.mp3|<li class="" htag="li"><span class="x">The first part of the plan has been safely accomplished.</span></li>;<li class="" htag="li"><span class="x">I don't feel I've accomplished very much today.</span></li>;<li class="" htag="li"><span class="x">That's it. <span class="cl">Mission accomplished</span> <span class="gloss" hclass="gloss" htag="span">(= we have done what we aimed to do)</span>.</span></li>|https://www.oxfordlearnersdictionaries.com/definition/english/accomplish|<li class="" htag="li"><span class="x">Phần đầu tiên của kế hoạch đã được thực hiện an toàn.</span></li>;<li class="" htag="li"><span class="x">Tôi không cảm thấy mình đã đạt được nhiều thành tựu trong ngày hôm nay.</span></li>;<li class="" htag="li"><span class="x">Vậy là xong. <span class="cl">Nhiệm vụ đã hoàn thành</span> <span class="gloss" hclass="gloss" htag="span">(= we have done what we aimed to do)</span>.</span></li>|thành công trong việc làm hoặc hoàn thành một việc gì đó
accomplishment|accomplishment|noun|C1|an impressive thing that is done or achieved after a lot of work|/əˈkʌmplɪʃmənt/|/əˈkɑːmplɪʃmənt/|https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/acc/accom/accomplishment__gb_1.mp3|https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/acc/accom/accomplishment__us_1.mp3|<li class="" htag="li"><span class="x">It was one of the President's greatest accomplishments.</span></li>;<li class="" htag="li"><span class="x">The series of paintings is quite an accomplishment.</span></li>|https://www.oxfordlearnersdictionaries.com/definition/english/accomplishment|<li class="" htag="li"><span class="x">Đây là một trong những thành tựu lớn nhất của Tổng thống.</span></li>;<li class="" htag="li"><span class="x">Bộ tranh này thực sự là một thành tựu.</span></li>|một điều ấn tượng được thực hiện hoặc đạt được sau rất nhiều công sức
accordance|accordance|noun|C1|according to a rule or the way that somebody says that something should be done|/əˈkɔːdns/|/əˈkɔːrdns/|https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/acc/accor/accordance__gb_1.mp3|https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/acc/accor/accordance__us_1.mp3|<li class="" htag="li"><span class="x">in accordance with legal requirements</span></li>;<li class="" htag="li"><span class="x">We acted in accordance with my parents’ wishes.</span></li>|https://www.oxfordlearnersdictionaries.com/definition/english/accordance|<li class="" htag="li"><span class="x">theo yêu cầu pháp lý</span></li>;<li class="" htag="li"><span class="x">Chúng tôi đã hành động theo đúng mong muốn của cha mẹ tôi.</span></li>|theo một quy tắc hoặc cách mà ai đó nói rằng điều gì đó nên được thực hiện
accordingly|accordingly|adverb|C1|in a way that is appropriate to what has been done or said in a particular situation|/əˈkɔːdɪŋli/|/əˈkɔːrdɪŋli/|https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/acc/accor/accordingly__gb_1.mp3|https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/acc/accor/accordingly__us_1.mp3|<li class="" htag="li"><span class="x">We have to discover his plans and act accordingly.</span></li>|https://www.oxfordlearnersdictionaries.com/definition/english/accordingly|<li class="" htag="li"><span class="x">Chúng ta phải khám phá kế hoạch của hắn và hành động phù hợp.</span></li>|theo cách phù hợp với những gì đã được thực hiện hoặc nói trong một tình huống cụ thể
accountability|accountability|noun|C1|the fact of being responsible for your decisions or actions and expected to explain them when you are asked|/əˌkaʊntəˈbɪləti/|/əˌkaʊntəˈbɪləti/|https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/acc/accou/accountability__gb_1.mp3|https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/acc/accou/accountability__us_1.mp3|<li class="" htag="li"><span class="x">proposals for greater police accountability</span></li>;<li class="" htag="li"> <span class="cf" hclass="cf" htag="span">accountability (of somebody) (to somebody)</span> <span class="x">the accountability of a company’s directors to the shareholders</span></li>|https://www.oxfordlearnersdictionaries.com/definition/english/accountability|<li class="" htag="li"><span class="x">đề xuất tăng cường trách nhiệm giải trình của cảnh sát</span></li>;<li class="" htag="li"> <span class="cf" hclass="cf" htag="span">accountability (of somebody) (to somebody)</span> <span class="x">trách nhiệm giải trình của giám đốc công ty đối với các cổ đông</span></li>|thực tế là bạn phải chịu trách nhiệm cho các quyết định hoặc hành động của mình và được yêu cầu giải thích chúng khi được hỏi
accountable|accountable|adjective|C1|responsible for your decisions or actions and expected to explain them when you are asked|/əˈkaʊntəbl/|/əˈkaʊntəbl/|https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/acc/accou/accountable__gb_2.mp3|https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/acc/accou/accountable__us_1.mp3|<li class="" htag="li"><span class="x">The state spends taxpayers’ money and should be <span class="cl">held accountable</span>.</span></li>;<li class="" htag="li"> <span class="cf" hclass="cf" htag="span">accountable to somebody</span> <span class="x">Politicians are ultimately accountable to the voters.</span></li>;<li class="" htag="li"> <span class="cf" hclass="cf" htag="span">accountable for something</span> <span class="x">Someone must be <span class="cl">held accountable</span> for the killings.</span></li>|https://www.oxfordlearnersdictionaries.com/definition/english/accountable|<li class="" htag="li"><span class="x">Nhà nước chi tiền của người nộp thuế và phải chịu trách nhiệm <span class="cl"></span>.</span></li>;<li class="" htag="li"> <span class="cf" hclass="cf" htag="span">accountable to somebody</span> <span class="x">Các chính trị gia phải chịu trách nhiệm cuối cùng trước cử tri.</span></li>;<li class="" htag="li"> <span class="cf" hclass="cf" htag="span">accountable for something</span> <span class="x">Ai đó phải chịu trách nhiệm <span class="cl"></span> for the killings.</span></li>|chịu trách nhiệm về các quyết định hoặc hành động của bạn và được yêu cầu giải thích chúng khi bạn được hỏi
accountant|accountant|noun|B2+|a person whose job is to keep or check financial accounts|/əˈkaʊntənt/|/əˈkaʊntənt/|https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/acc/accou/accountant__gb_1.mp3|https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/acc/accou/accountant__us_1.mp3|<li class="" htag="li"><span class="x">We talked to the company’s chief accountant.</span></li>;<li class="" htag="li"><span class="x">the investigating accountant’s report</span></li>|https://www.oxfordlearnersdictionaries.com/definition/english/accountant|<li class="" htag="li"><span class="x">Chúng tôi đã nói chuyện với kế toán trưởng của công ty.</span></li>;<li class="" htag="li"><span class="x">báo cáo của kế toán điều tra</span></li>|một người có công việc là giữ hoặc kiểm tra các tài khoản tài chính
accumulate|accumulate|verb|C1|to gradually get more and more of something over a period of time|/əˈkjuːmjəleɪt/|/əˈkjuːmjəleɪt/|https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/acc/accum/accumulate__gb_2.mp3|https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/acc/accum/accumulate__us_1.mp3|<li class="" htag="li"><span class="x">I seem to have accumulated a lot of books.</span></li>;<li class="" htag="li"><span class="x">By investing wisely she accumulated a fortune.</span></li>;<li class="" htag="li"><span class="x">We have accumulated a great amount of evidence.</span></li>|https://www.oxfordlearnersdictionaries.com/definition/english/accumulate|<li class="" htag="li"><span class="x">Có vẻ như tôi đã tích lũy được rất nhiều sách.</span></li>;<li class="" htag="li"><span class="x">Nhờ đầu tư khôn ngoan, bà đã tích lũy được một gia tài.</span></li>;<li class="" htag="li"><span class="x">Chúng tôi đã thu thập được một lượng lớn bằng chứng.</span></li>|dần dần có được ngày càng nhiều thứ gì đó trong một khoảng thời gian
accumulation|accumulation|noun|C1|the process of gradually increasing or getting more and more of something over a period of time|/əˌkjuːmjəˈleɪʃn/|/əˌkjuːmjəˈleɪʃn/|https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/acc/accum/accumulation__gb_1.mp3|https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/acc/accum/accumulation__us_1.mp3|<li class="" htag="li"><span class="x">the accumulation of wealth</span></li>|https://www.oxfordlearnersdictionaries.com/definition/english/accumulation|<li class="" htag="li"><span class="x">sự tích lũy của cải</span></li>|quá trình tăng dần hoặc có được ngày càng nhiều thứ gì đó trong một khoảng thời gian
accuracy|accuracy|noun|B2+|the state of being exact or correct; the ability to do something with skill and without making mistakes|/ˈækjərəsi/|/ˈækjərəsi/|https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/acc/accur/accuracy__gb_1.mp3|https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/acc/accur/accuracy__us_1.mp3|<li class="" htag="li"><span class="x">They questioned the accuracy of the information in the file.</span></li>;<li class="" htag="li"><span class="x">Candidates are judged on technical accuracy as well as artistic expression.</span></li>;<li class="" htag="li"><span class="x">She hits the ball with great accuracy.</span></li>|https://www.oxfordlearnersdictionaries.com/definition/english/accuracy|<li class="" htag="li"><span class="x">Họ đặt câu hỏi về tính chính xác của thông tin trong hồ sơ.</span></li>;<li class="" htag="li"><span class="x">Các ứng viên được đánh giá dựa trên độ chính xác về mặt kỹ thuật cũng như khả năng thể hiện nghệ thuật.</span></li>;<li class="" htag="li"><span class="x">Cô ấy đánh bóng với độ chính xác cao.</span></li>|trạng thái chính xác hoặc đúng đắn; khả năng làm điều gì đó một cách khéo léo và không mắc lỗi
accurately|accurately|adverb|B2+|in a way that is correct and true in every detail|/ˈækjərətli/|/ˈækjərətli/|https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/acc/accur/accurately__gb_1.mp3|https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/acc/accur/accurately__us_1.mp3|<li class="" htag="li"><span class="x">The article accurately reflects public opinion.</span></li>;<li class="" htag="li"><span class="x">The report accurately reflects the current state of the industry.</span></li>|https://www.oxfordlearnersdictionaries.com/definition/english/accurately|<li class="" htag="li"><span class="x">Bài viết phản ánh chính xác dư luận.</span></li>;<li class="" htag="li"><span class="x">Báo cáo phản ánh chính xác tình hình hiện tại của ngành.</span></li>|theo cách đúng đắn và chân thực trong từng chi tiết
